Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
3,"R13, R18, R37",47k,0805,RMCF0805FT47K0,Stackpole Electronics Inc,DK,RMCF0805FT47K0CT-ND,RES 47K OHM 1/8W 1%,0805,REF38
2,"C4, C7",47nF,0805,C0805C473K5RACTU,Kemet,DK,399-1166-1-ND,CAP CER 0.047UF 50V 10% X7R,0805,REF26
2,"C15, C16",47uF / 16v,PANASONIC_VS_B-2,EEE-1HAR47AR,Panasonic Electronic Components,DK,PCE4628CT-ND,CAP ALUM 0.47UF 50V 20%,PAN_VS_B,REF7
3,"R26, R31, R34",100R,0805,RMCF0805FT100R,Stackpole Electronics Inc,DK,RMCF0805FT100RCT-ND,RES 100 OHM 1/8W 1%,0805,REF43
2,"R5, R17",100k,0805,RMCF0805FT100K,Stackpole Electronics Inc,DK,RMCF0805FT100KCT-ND,RES 100K OHM 1/8W 1%,0805,REF33
1,"R14",100k Lin,POTENTIOMETER-CTS296,296UD104B1N,CTS Electrocomponents,DK,CT2268-ND,POT 100K OHM 1/8W CARB VERTICAL LIN,THT,REF19
1,"R16",100k Log,POTENTIOMETER-PTV09-VERT,PTV09A-2020F-A104,Bourns Inc.,DK,PTV09A-2020F-A104-ND,POT 100K OHM 9MM SQ .05W VERT LOG,THT,REF21
1,"R10",220R,0805,RMCF0805FT220R,Stackpole Electronics Inc,DK,RMCF0805FT220RCT-ND,RES 220 OHM 1/8W 1%,0805,REF51
1,"C8",220pF,0805,CC0805KRX7R9BB221,Yageo,DK,311-1123-1-ND,CAP CER 220PF 50V 10% X7R,0805,REF16
1,"R23",300k,0805,RMCF0805FT300K,Stackpole Electronics Inc,DK,RMCF0805FT300KCT-ND,RES 300K OHM 1/8W 1%,0805,REF42
1,"R30",330R,0805,RMCF0805FT330R,Stackpole Electronics Inc,DK,RMCF0805FT330RCT-ND,RES 330 OHM 1/8W 1%,0805,REF45
1,"R22",330k,0805,RMCF0805FT330K,Stackpole Electronics Inc,DK,RMCF0805FT330KCT-ND,RES 330K OHM 1/8W 1%,0805,REF41
1,"R19",470k,0805,CRCW0805470KFKEA,Vishay Dale,DK,541-470KCCT-ND,RES 470K OHM 1/8W 1%,0805,REF39
2,"R6, R7",680R,0805,RMCF0805FT680R,Stackpole Electronics Inc,DK,RMCF0805FT680RCT-ND,RES 680 OHM 1/8W 1%,0805,REF49
1,"R8",820k,0805,RC0805FR-07820KL,Yageo,DK,311-820KCRCT-ND,RES 820K OHM 1/8W 1%,0805,REF56
1,"S3",ACCENT,TACTILE_SWITCH_SMD,PTS525SM10SMTR LFS,C&K; Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,None,REF12
1,"JP2",AUDIO-JACK-3P,CUI-352X-SMT,SJ-3523-SMT-TR,CUI Inc,DK,CP-3523SJCT-ND,CONN AUDIO JACK 3.5MM STEREO SMD,None,REF22
5,"T1, T3, T5, T6, T7",BC846,SOT23,BC846BMTF,Fairchild Semiconductor,DK,BC846BMTFCT-ND,TRANSISTOR NPN 65V 0.1A,SOT23,REF1
1,"T2",BC856,SOT23-BEC,BC856BMTF,Fairchild Semiconductor,DK,BC856BMTFCT-ND,TRANSISTOR PNP 65V 100MA,SOT-23,REF3
2,"IC1, IC2",TL072D,SO08,TL072SG-13,Diodes Incorporated,DK,TL072SG-13DICT-ND,IC OPAMP JFET 3MHZ,8SOP,REF5
1,"S1",TRIGGER,TACTILE_SWITCH_SMD,PTS525SM10SMTR LFS,C&K; Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,None,REF12
